year,name,count
2001,Italy,43310
2001,Spain,12420
2001,Poland,6460
2001,Russia,4410
2001,Iran,1920
2001,Israel,14560
2001,Saudi Arabia,4090
2001,United Arab Emirates,13970
2001,Cambodia,1410
2001,Thailand,79950
2001,Vietnam,9300
2001,Indonesia,97880
2001,Malaysia,149410
2001,Philippines,30410
2001,Singapore,296000
2001,China,157940
2001,Hong Kong,154150
2001,Taiwan,110080
2001,Japan,673570
2001,South Korea,175600
2001,Bangladesh,3250
2001,India,48200
2001,Nepal,1130
2001,Pakistan,2660
2001,Sri Lanka,8290
2001,Canada,93150
2001,United States of America,446450
2001,Argentina,7870
2001,Brazil,11610
2001,Chile,3780
2001,Colombia,2200
2001,Mexico,4680
2001,South Africa,54940
2002,New Zealand,790080
2002,New Caledonia,30500
2002,Papua New Guinea,31260
2002,Vanuatu,5260
2002,Fiji,23170
2002,United Kingdom,642650
2002,Ireland,48040
2002,Austria,19020
2002,Belgium,10800
2002,France,49550
2002,Germany,134810
2002,Netherlands,53000
2002,Switzerland,41510
2002,Denmark,18870
2002,Finland,6530
2002,Norway,16860
2002,Sweden,30890
2002,Italy,43300
2002,Spain,12440
2002,Poland,8760
2002,Russia,4360
2002,Iran,1770
2002,Israel,15060
2002,Saudi Arabia,4060
2002,United Arab Emirates,13300
2002,Cambodia,1170
2002,Thailand,82660
2002,Vietnam,9240
2002,Indonesia,89430
2002,Malaysia,159000
2002,Philippines,28460
2002,Singapore,286860
2002,China,190020
2002,Hong Kong,150950
2002,Taiwan,97420
2002,Japan,715460
2002,South Korea,189730
2002,Bangladesh,3140
2002,India,45020
2002,Nepal,920
2002,Pakistan,2070
2002,Sri Lanka,7190
2002,Canada,90870
2002,United States of America,434500
2002,Argentina,4360
2002,Brazil,10240
2002,Chile,3010
2002,Colombia,1600
2002,Mexico,5400
2002,South Africa,50970
2003,New Zealand,839090
2003,New Caledonia,33600
2003,Papua New Guinea,27310
2003,Vanuatu,5250
2003,Fiji,25470
2003,United Kingdom,672810
2003,Ireland,52960
2003,Austria,18810
2003,Belgium,9860
2003,France,51380
2003,Germany,137890
2003,Netherlands,50950
2003,Switzerland,40910
2003,Denmark,19010
2003,Finland,7680
2003,Norway,17180
2003,Sweden,31800
2003,Italy,41320
2003,Spain,12430
2003,Poland,5490
2003,Russia,5050
2003,Iran,1760
2003,Israel,13340
2003,Saudi Arabia,4040
2003,United Arab Emirates,15230
2003,Cambodia,1300
2003,Thailand,73160
2003,Vietnam,9450
2003,Indonesia,90270
2003,Malaysia,155610
2003,Philippines,27010
2003,Singapore,253360
2003,China,176140
2003,Hong Kong,129290
2003,Taiwan,87740
2003,Japan,627740
2003,South Korea,207280
2003,Bangladesh,3400
2003,India,45610
2003,Nepal,830
2003,Pakistan,2610
2003,Sri Lanka,8550
2003,Canada,87920
2003,United States of America,422130
2003,Argentina,3710
2003,Brazil,8310
2003,Chile,3460
2003,Colombia,1410
2003,Mexico,5270
2003,South Africa,52730
2004,New Zealand,1029460
2004,New Caledonia,35910
2004,Papua New Guinea,25710
2004,Vanuatu,6870
2004,Fiji,25270
2004,United Kingdom,679320
2004,Ireland,54440
2004,Austria,18160
2004,Belgium,11210
2004,France,58430
2004,Germany,141760
2004,Netherlands,48700
2004,Switzerland,42100
2004,Denmark,20760
2004,Finland,9550
2004,Norway,17170
2004,Sweden,33990
2004,Italy,47410
2004,Spain,16040
2004,Poland,6260
2004,Russia,6250
2004,Iran,2180
2004,Israel,14310
2004,Saudi Arabia,4860
2004,United Arab Emirates,18660
2004,Cambodia,1970
2004,Thailand,77680
2004,Vietnam,11270
2004,Indonesia,83630
2004,Malaysia,165070
2004,Philippines,31280
2004,Singapore,243900
2004,China,250210
2004,Hong Kong,135640
2004,Taiwan,98600
2004,Japan,707090
2004,South Korea,213580
2004,Bangladesh,3510
2004,India,54710
2004,Nepal,840
2004,Pakistan,2580
2004,Sri Lanka,9820
2004,Canada,100170
2004,United States of America,431170
2004,Argentina,3630
2004,Brazil,10430
2004,Chile,3960
2004,Colombia,1420
2004,Mexico,5110
2004,South Africa,50100
2005,New Zealand,1088020
2005,New Caledonia,37810
2005,Papua New Guinea,27540
2005,Vanuatu,6730
2005,Fiji,26780
2005,United Kingdom,714810
2005,Ireland,61890
2005,Austria,18240
2005,Belgium,12160
2005,France,65750
2005,Germany,149060
2005,Netherlands,51010
2005,Switzerland,42870
2005,Denmark,23150
2005,Finland,10100
2005,Norway,17050
2005,Sweden,36420
2005,Italy,51530
2005,Spain,17060
2005,Poland,6630
2005,Russia,7390
2005,Iran,2710
2005,Israel,15710
2005,Saudi Arabia,6100
2005,United Arab Emirates,19240
2005,Cambodia,2510
2005,Thailand,72960
2005,Vietnam,13620
